title,rating,category,address,Postal Code,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,imgUrl,placeUrl,latitude,longitude,,
Geylang Sports and Recreation Centre,3.3,Sports complex,"601 Aljunied Ave 1, Singapore 389862",389862,,+65 6745 7175,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPoyXIEeDfWSZBN7vkaZP26um7TCZJ2RdbZvIK8=w408-h306-k-no,https://www.google.com/maps/place/Geylang+Sports+and+Recreation+Centre/data=!4m7!3m6!1s0x31da1823d3922c35:0x890d1bc73acfb0f8!8m2!3d1.3212711!4d103.8880491!16s%2Fg%2F1ptx9jlhs!19sChIJNSyS0yMY2jER-LDPOscbDYk,1.3213125,103.8880625,1,1
Indoor Sports Hall,,Sports complex,"50 Goodman Rd, Singapore 439012",439012,,,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,8a.m.–10p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ErO7q6hMKdJmY-x4kyUEZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.81258&pitch=0&thumbfov=100,https://www.google.com/maps/place/Indoor+Sports+Hall/data=!4m7!3m6!1s0x31da186a64e86563:0xedd8ddf76575677f!8m2!3d1.3048162!4d103.8922902!16s%2Fg%2F11g6wwnkzf!19sChIJY2XoZGoY2jERf2d1Zffd2O0,1.3048125,103.8923125,1,1
Kallang Water Sports Centre,4,Sports complex,"15 Stadium Rd, Singapore 397718",397718,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPWZW7pYqgfd6mAbjVZHuMMFV1Xc0psvz1E9kcQ=w408-h544-k-no,https://www.google.com/maps/place/Kallang+Water+Sports+Centre/data=!4m7!3m6!1s0x31da18494c27d1f3:0x12e08d4facef29f2!8m2!3d1.303242!4d103.874757!16s%2Fg%2F11fmvkv04q!19sChIJ89EnTEkY2jER8invrE-N4BI,1.3031875,103.8748125,1,2
National Youth Sports Institute (NYSI),4.7,Sports complex,"5D Stadium Ln, Singapore 397778",397778,nysi.org.sg,,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,9a.m.–8p.m.,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipMB3CIfWOJM8Bo9KRzb_xPM1_B5aWTBc1mnc7Wo=w408-h725-k-no,https://www.google.com/maps/place/National+Youth+Sports+Institute+(NYSI)/data=!4m7!3m6!1s0x31da19e46b277831:0x9f85d2036721006c!8m2!3d1.304684!4d103.8709652!16s%2Fg%2F11j4v2p2xb!19sChIJMXgna-QZ2jERbAAhZwPShZ8,1.3046875,103.8709375,1,1
ActiveSG Pasir Ris Sport Centre,4.2,Sports complex,"120 Pasir Ris Central, Singapore 519640",519640,https://www.facebook.com/pasirrissc,+65 8517 9604,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipMPCowQLmR27WloHnl2wLPFhUe1-vtw_Xf7Amwm=w408-h267-k-no,https://www.google.com/maps/place/ActiveSG+Pasir+Ris+Sport+Centre/data=!4m7!3m6!1s0x31da3db025ad70eb:0xd797a27a7e922c1c!8m2!3d1.3740237!4d103.9514946!16s%2Fg%2F126181hd3!19sChIJ63CtJbA92jERHCySfnqil9c,1.3740625,103.9514375,1,1
Kallang ActiveSG Lawn Bowl,3,Sports complex,"8 Stadium Blvd, Singapore 397724",397724,https://www.myactivesg.com/facilities/kallang-sports-centre,+65 6348 1291,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,https://lh5.googleusercontent.com/p/AF1QipMNRP1T5Vn2MFxsNFN8EN0NFuTBxkvhamkO636e=w408-h306-k-no,https://www.google.com/maps/place/Kallang+ActiveSG+Lawn+Bowl/data=!4m7!3m6!1s0x31da18487d724885:0x5d1b19fa29cca49!8m2!3d1.306516!4d103.8794007!16s%2Fg%2F11cn9fzqgy!19sChIJhUhyfUgY2jERScqcop-x0QU,1.3065625,103.8794375,1,1
Homeground Sports,5,Sports complex,"200 Woodlands Industrial Pk E7, Singapore 757177",757177,https://homegroundsports.sg/,+65 9040 8880,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,7a.m.–1a.m.,https://lh5.googleusercontent.com/p/AF1QipOIvaHDek40j09am6ubcd-7bZTgoXVeWgGz5adJ=w408-h306-k-no,https://www.google.com/maps/place/Homeground+Sports/data=!4m7!3m6!1s0x31da1396adb78501:0x98d6393e58620811!8m2!3d1.4507083!4d103.7968128!16s%2Fg%2F11s5n5nwvm!19sChIJAYW3rZYT2jEREQhiWD451pg,1.4506875,103.7968125,1,1
Farrer Park ActiveSG Field,4.3,Sports complex,"3 Rutland Rd, Farrer Park, Singapore 218254",218254,myactivesg.com,+65 6299 4166,7a.m.–7p.m.,7a.m.–7p.m.,7a.m.–7p.m.,7a.m.–7p.m.,7a.m.–7p.m.,7a.m.–7p.m.,7a.m.–7p.m.,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_wZLn8G8WFI2EcOW3DzMaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.69943&pitch=0&thumbfov=100,https://www.google.com/maps/place/Farrer+Park+ActiveSG+Field/data=!4m7!3m6!1s0x31da1940f4d96a95:0x2563cc89d8b2dde0!8m2!3d1.311185!4d103.849076!16s%2Fg%2F11gk3fw1pz!19sChIJlWrZ9EAZ2jER4N2y2InMYyU,1.3111875,103.8490625,1,2
Kallang ActiveSG Field,4.7,Sports complex,"31 Stadium Cres, Singapore 397639",397639,https://www.myactivesg.com/facilities/kallang-field,+65 6348 1291,7a.m.–5p.m.,7a.m.–5p.m.,7a.m.–5p.m.,7a.m.–5p.m.,7a.m.–5p.m.,12–2:30p.m.,Closed,https://lh5.googleusercontent.com/p/AF1QipM6-PSCmSdAiDteZx_6TE6qIRndRfWL5I67Fbx6=w408-h272-k-no,https://www.google.com/maps/place/Kallang+ActiveSG+Field/data=!4m7!3m6!1s0x31da18463fbae8bb:0x9264717c326636b5!8m2!3d1.3044269!4d103.8808383!16s%2Fm%2F04grl8c!19sChIJu-i6P0YY2jERtTZmMnxxZJI,1.3044375,103.8808125,1,1
Kovan Sports Centre,4.2,Futsal court,"60 Hougang Street 21, Singapore 538738",538738,kovansports.com,+65 6286 0256,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,9a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipMO6xiFQSsIEzyhPyrmrmmGbCF7ZXeKJzMztmZG=w408-h306-k-no,https://www.google.com/maps/place/Kovan+Sports+Centre/data=!4m7!3m6!1s0x31da17b1333a3f79:0x1976e696833c31d!8m2!3d1.3574544!4d103.8852648!16s%2Fg%2F12m9l3nv_!19sChIJeT86M7EX2jERHcMzaGlulwE,1.3574375,103.8853125,1,1
Toa Payoh South Community Club,4.1,Community center,"1999 Lor 8 Toa Payoh, Singapore 319258",319258,https://tpscc.business.site/?utm_source=gmb&utm_medium=referral,+65 6259 6602,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipP1pZLwUZwQps9pfX9yprQ160Bavgn478UQPp8Z=w426-h240-k-no,https://www.google.com/maps/place/Toa+Payoh+South+Community+Club/data=!4m7!3m6!1s0x31da177a7d259393:0x143d39a418b60ab9!8m2!3d1.3349224!4d103.8593405!16s%2Fg%2F1tc_hn90!19sChIJk5MlfXoX2jERuQq2GKQ5PRQ,1.3349375,103.8593125,1,1
The Cage,4.3,Sports complex,"38 Jln Benaan Kapal, Singapore 399635",399635,thecage.com.sg,+65 6344 9345,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOIRa0st2-3rD59C3E9VbBSDPGHXP1a51SFbp2o=w408-h306-k-no,https://www.google.com/maps/place/The+Cage/data=!4m7!3m6!1s0x31da1845e11470a5:0xc7d650a01c19344f!8m2!3d1.3019709!4d103.8797633!16s%2Fg%2F1tqyc012!19sChIJpXAU4UUY2jERTzQZHKBQ1sc,1.3019375,103.8798125,2,2
Jalan Besar Sports Centre multi story carpark,,Sports club,"86 Horne Rd, Singapore 209082",209082,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OYiNJqMlIdPiAuUBa0hCBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.92554&pitch=0&thumbfov=100,https://www.google.com/maps/place/Jalan+Besar+Sports+Centre+multi+story+carpark/data=!4m7!3m6!1s0x31da19512ee4b5db:0x149b6733e472caa0!8m2!3d1.3108256!4d103.860382!16s%2Fg%2F11t9vt0j6h!19sChIJ27XkLlEZ2jERoMpy5DNnmxQ,1.3108125,103.8604375,1,1
Jalan Besar Sports Centre,4.2,Sports complex,"100 Tyrwhitt Rd, Singapore 207542",207542,https://www.myactivesg.com/facilities/jalan-besar-sports-centre,+65 6293 9058,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOghxTM_6LedUshnMMrczrBtxx9yZhmcHHH375P=w408-h306-k-no,https://www.google.com/maps/place/Jalan+Besar+Sports+Centre/data=!4m7!3m6!1s0x31da19c909ec6263:0x95a444dd4b0cb726!8m2!3d1.3100797!4d103.8603154!16zL20vMGZ6bms1!19sChIJY2LsCckZ2jERJrcMS91EpJU,1.3100625,103.8603125,1,1
Teamsport Arena Badminton Court @ Suntec Convention,3.1,Sports complex,"Suntec Convention Centre Hall 601/602, 1 Raffles Blvd, Singapore 039593",039593,https://www.teamsport.sg/,+65 9077 3050,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,7a.m.–11p.m.,https://lh5.googleusercontent.com/p/AF1QipOUyUNPhF1xhZLLDfWl2vuHcjqA1tWK5HmlK4No=w408-h306-k-no,https://www.google.com/maps/place/Teamsport+Arena+Badminton+Court+@+Suntec+Convention/data=!4m7!3m6!1s0x31da196a27b4d973:0xeebcb838c451d88d!8m2!3d1.2936739!4d103.8572447!16s%2Fg%2F11r_tr2338!19sChIJc9m0J2oZ2jERjdhRxDi4vO4,1.2936875,103.8571875,1,1
Bedok ActiveSG Stadium,4.1,Sports complex,"1 Bedok North Street 2, Singapore 469642",469642,https://www.myactivesg.com/facilities/bedok-stadium,+65 6443 4846,4:30a.m.–9:30p.m.,4:30a.m.–9:30p.m.,4:30a.m.–9:30p.m.,4:30a.m.–9:30p.m.,4:30a.m.–9:30p.m.,4:30a.m.–9:30p.m.,4:30a.m.–9:30p.m.,https://lh5.googleusercontent.com/p/AF1QipPw18mIkWxbq9bvSrzgsVYtavunT6drCl7Ir9GM=w408-h306-k-no,https://www.google.com/maps/place/Bedok+ActiveSG+Stadium/data=!4m7!3m6!1s0x31da3d354b1da6d5:0x82dcd664c0da2208!8m2!3d1.3264714!4d103.9393137!16zL20vMGI1Xzdw!19sChIJ1aYdSzU92jERCCLawGTW3II,1.3264375,103.9393125,1,1
Ceylon Sports Club,4.2,Sports club,"101 Balestier Rd, Singapore 329678",329678,cscsingapore.org.sg,+65 6297 1009,9:30a.m.–11:30p.m.,9:30a.m.–11:30p.m.,9:30a.m.–11:30p.m.,9:30a.m.–11:30p.m.,9:30a.m.–12:30a.m.,9:30a.m.–12:30a.m.,9:30–11:30a.m.,https://lh5.googleusercontent.com/p/AF1QipOMKbZxH3a4OzJRx6so252IQoO-gn0LAdZQnLps=w408-h544-k-no,https://www.google.com/maps/place/Ceylon+Sports+Club/data=!4m7!3m6!1s0x31da19dae84fbbab:0x6f99284dc21bbb1!8m2!3d1.3186457!4d103.8543429!16s%2Fg%2F1v3dpn8y!19sChIJq7tP6NoZ2jERsbsh3ISS-QY,1.3186875,103.8543125,2,1
Kallang ActiveSG Squash Centre,4.6,Squash court,"8 Stadium Blvd, Singapore 397804",397804,https://www.myactivesg.com/facilities/kallang-squash-centre,+65 6348 1291,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,7a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipOhpnr6KMhnrxq2iIXoU_Z4NNj6eL7hag2xv6rm=w408-h544-k-no,https://www.google.com/maps/place/Kallang+ActiveSG+Squash+Centre/data=!4m7!3m6!1s0x31da1847d57d0f05:0x99aa115f31cea08c!8m2!3d1.3053877!4d103.8796097!16s%2Fg%2F11gf96l4gr!19sChIJBQ991UcY2jERjKDOMV8Rqpk,1.3054375,103.8795625,1,1
Bukit Canberra (Canberra Integrated Hub),3.3,Sports complex,"21 Canberra Link, Singapore 752350",752350,https://bukitcanberra.business.site/?utm_source=gmb&utm_medium=referral,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipN0JXCq8MLqgEo66s7y4jlDuji7Mns2fGuAPiQi=w426-h240-k-no,https://www.google.com/maps/place/Bukit+Canberra+(Canberra+Integrated+Hub)/data=!4m7!3m6!1s0x31da15cc3669ca5b:0xa2e6a030d90185dc!8m2!3d1.4481823!4d103.82388!16s%2Fg%2F11hybvkst2!19sChIJW8ppNswV2jER3IUB2TCg5qI,1.4481875,103.8239375,1,1
NTU Sports and Recreation Centre Hall W,4.7,University,"110 Nanyang Cres, Singapore 636956",636956,,+65 6790 5169,8:30a.m.–10p.m.,8:30a.m.–10p.m.,8:30a.m.–10p.m.,8:30a.m.–10p.m.,8:30a.m.–10p.m.,9a.m.–6p.m.,9a.m.–6p.m.,https://lh5.googleusercontent.com/p/AF1QipNsFzHQcIp2Eij1TRIYGWYzhKYoajU9LVgJktIU=w426-h240-k-no,https://www.google.com/maps/place/NTU+Sports+and+Recreation+Centre+Hall+W/data=!4m7!3m6!1s0x31da0fa0ffffffff:0xbf10da89fe03af4c!8m2!3d1.3488944!4d103.6894805!16s%2Fg%2F11fxzhk0xn!19sChIJ_____6AP2jERTK8D_onaEL8,1.3489375,103.6894375,1,1
Heartbeat@Bedok ActiveSG Swimming Complex,4.4,Public swimming pool,"11 Bedok North Street 1, Singapore 469662",469662,myactivesg.com,+65 6443 5511,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNkdPrLNn9hz9zcXKMvJt3vBD5LNX8AoSbql3_a=w408-h544-k-no,https://www.google.com/maps/place/Heartbeat@Bedok+ActiveSG+Swimming+Complex/data=!4m7!3m6!1s0x31da22b5431318d7:0x5f4287d876e4b0a8!8m2!3d1.3271175!4d103.9322493!16s%2Fg%2F11c2l_mcc7!19sChIJ1xgTQ7Ui2jERqLDkdtiHQl8,1.3270625,103.9321875,1,1
KidsCamp Singapore,4.6,Adventure sports center,"170 River Valley Rd, Singapore 179038",179038,https://www.kidscampsingapore.com/,+65 8921 6485,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipOdOV7tFMWmldOQ39Jl3RDz8MdVKMCZcqwBLg1d=w408-h305-k-no,https://www.google.com/maps/place/KidsCamp+Singapore/data=!4m7!3m6!1s0x31da19a1d09dec65:0xb6a62d8683ad0239!8m2!3d1.2929188!4d103.8445026!16s%2Fg%2F11d_wtjpf4!19sChIJZeyd0KEZ2jEROQKtg4YtprY,1.2929375,103.8445625,2,1
Singapore Indoor Stadium,4.4,Stadium,"2 Stadium Walk, Singapore 397691",397691,https://www.sportshub.com.sg/,+65 6653 8900,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOE_Mq0Bp3OCIS_1EQXEtsyeSalViImLCT6f1Ku=w408-h306-k-no,https://www.google.com/maps/place/Singapore+Indoor+Stadium/data=!4m7!3m6!1s0x31da184e869a1753:0xf2dbe15cf47ed46c!8m2!3d1.3005709!4d103.874394!16zL20vMGJyNzVm!19sChIJUxeahk4Y2jERbNR-9Fzh2_I,1.3005625,103.8744375,1,1
Kallang Basin ActiveSG Swimming Complex,4,Swimming pool,"23 Geylang Bahru Ln, Singapore 339628",339628,https://www.myactivesg.com/facilities/kallang-basin-swimming-complex,+65 6295 4261,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMEgjFMUb2gdIl2TWm_1IpE9S4PAiTXzTcSWNde=w408-h306-k-no,https://www.google.com/maps/place/Kallang+Basin+ActiveSG+Swimming+Complex/data=!4m7!3m6!1s0x31da182bbe918961:0x803c3a7a7b9c7efc!8m2!3d1.322795!4d103.8724441!16s%2Fg%2F1tgcpcyy!19sChIJYYmRvisY2jER_H6ce3o6PIA,1.3228125,103.8724375,1,1
Bishan ActiveSG Stadium,4.3,Stadium,"7 Bishan Street 14, Singapore 579784",579784,https://www.myactivesg.com/facilities/bishan-stadium,+65 6352 6631,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNFnYo6cpSrdryOC8PqOuwge6N1obWm1Zl62kWz=w408-h544-k-no,https://www.google.com/maps/place/Bishan+ActiveSG+Stadium/data=!4m7!3m6!1s0x31da171a03d01de7:0xbb755c74a1ad011d!8m2!3d1.354443!4d103.8515607!16zL20vMGM3MGsx!19sChIJ5x3QAxoX2jERHQGtoXRcdbs,1.3544375,103.8515625,1,2
National Stadium,4.5,Stadium,"1 Stadium Dr, Singapore 397629",397629,https://www.sportshub.com.sg/,+65 6653 8900,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMhJtrd1lFUqW3jckk0eITLoO8JoD-_PKH21mX2=w408-h306-k-no,https://www.google.com/maps/place/National+Stadium/data=!4m7!3m6!1s0x31da184966f67bcd:0x2d296d925d398f55!8m2!3d1.304013!4d103.8748426!16s%2Fm%2F0h52_2v!19sChIJzXv2ZkkY2jERVY85XZJtKS0,1.3040625,103.8748125,1,2
Hougang ActiveSG Stadium,4.3,Stadium,"100 Hougang Ave 2, Singapore 538856",538856,https://www.myactivesg.com/facilities/hougang-stadium,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOVPswzwhdkdH0dlyYFIpiIUqtVUGRozRYDBIPs=w408-h306-k-no,https://www.google.com/maps/place/Hougang+ActiveSG+Stadium/data=!4m7!3m6!1s0x31da164914e9bdd9:0x6225f55570921fa7!8m2!3d1.3695136!4d103.8859787!16zL20vMGM3MGtk!19sChIJ2b3pFEkW2jERpx-ScFX1JWI,1.3695625,103.8859375,1,1
Katong ActiveSG Swimming Complex,4.1,Swimming pool,"111 Wilkinson Rd, Katong Swim Complex, Singapore 436752",436752,https://www.myactivesg.com/facilities/katong-swimming-complex,+65 6344 9609,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPCDsEXdp_eMKV7C0RMa94YIZ1Yol2fF7VyHbbi=w426-h240-k-no,https://www.google.com/maps/place/Katong+ActiveSG+Swimming+Complex/data=!4m7!3m6!1s0x31da1843ee113f47:0xfcaa8e847da0defb!8m2!3d1.302129!4d103.8861643!16s%2Fg%2F1hc2d5yg1!19sChIJRz8R7kMY2jER-96gfYSOqvw,1.3021875,103.8861875,1,1
Legends Fight Sport Clarke Quay | #1 Boxing Classes Singapore,5,Boxing club,"33a Hongkong St, Singapore 059672",059672,legends.com.sg,+65 6252 3254,7a.m.–9p.m.,9:30a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,7a.m.–9p.m.,8a.m.–2:30p.m.,7a.m.–6p.m.,https://lh5.googleusercontent.com/p/AF1QipOONpvy8D1GGB4tuEOTMRowLJs36-bDmuZxBlrY=w426-h240-k-no,https://www.google.com/maps/place/Legends+Fight+Sport+Clarke+Quay+%7C+%231+Boxing+Classes+Singapore/data=!4m7!3m6!1s0x31da190ae3533c5b:0xf5b952c0c3eda123!8m2!3d1.287462!4d103.84716!16s%2Fg%2F11bbrc7nwz!19sChIJWzxT4woZ2jERI6Htw8BSufU,1.2874375,103.8471875,1,1
Serangoon ActiveSG Swimming Complex,4.1,Swimming pool,"35A Yio Chu Kang Rd, Singapore 545552",545552,https://www.myactivesg.com/facilities/serangoon-swimming-complex,+65 6288 4606,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPDEPc_8u1brj9kFDRB4llvk3Xq2qCUA9J1z0sx=w426-h240-k-no,https://www.google.com/maps/place/Serangoon+ActiveSG+Swimming+Complex/data=!4m7!3m6!1s0x31da17aedacaab17:0xd700deb7b09aa0b8!8m2!3d1.3572138!4d103.8746754!16s%2Fg%2F1hf0lfc8r!19sChIJF6vK2q4X2jERuKCasLfeANc,1.3571875,103.8746875,1,1
Klassic Cuesports Pte. Ltd.,4.2,Pool hall,"1 Jln Berseh, #02-02 New World Centre, Singapore 209037",209037,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2FKlassicClubPage%2F%3Flocale2%3Dzh_CN&refsrc=deprecated&locale2=zh_CN&_rdr,+65 6341 5066,10a.m.–4a.m.,10a.m.–4a.m.,10a.m.–4a.m.,10a.m.–4a.m.,10a.m.–4a.m.,10a.m.–4a.m.,10a.m.–4a.m.,https://lh5.googleusercontent.com/p/AF1QipPpis9hxllO6QIC21wGD5XlzcUr_M39UqQsQWtm=w408-h723-k-no,https://www.google.com/maps/place/Klassic+Cuesports+Pte.+Ltd./data=!4m7!3m6!1s0x31da19b7e39e63d3:0x94dfafa3d538910!8m2!3d1.3071416!4d103.8576949!16s%2Fg%2F1tcv8dr4!19sChIJ02Oe47cZ2jEREIlTPfr6TQk,1.3071875,103.8576875,1,1
Hougang ActiveSG Swimming Complex,4.1,Swimming facility,"95 Hougang Ave 4, Singapore 538830",538830,https://www.myactivesg.com/facilities/hougang-swimming-complex,+65 6386 5010,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPZ8xPgnXmenLj_nA7C-_A2HMg1ez7W517dpv53=w408-h306-k-no,https://www.google.com/maps/place/Hougang+ActiveSG+Swimming+Complex/data=!4m7!3m6!1s0x31da1649165aec3b:0x6e799e575ccbcafe!8m2!3d1.3700563!4d103.886985!16s%2Fg%2F125_tynvc!19sChIJO-xaFkkW2jER_srLXFeeeW4,1.3700625,103.8869375,1,1
Yio Chu Kang ActiveSG Swimming Complex,4,Swimming pool,"202 Ang Mo Kio Ave 9, Singapore 569771",569771,https://www.myactivesg.com/facilities/yio-chu-kang-swimming-complex,+65 6481 9054,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPJnYYfjGa5EaiLdZfaGD6BZbkT8wabiE1iiVJA=w408-h544-k-no,https://www.google.com/maps/place/Yio+Chu+Kang+ActiveSG+Swimming+Complex/data=!4m7!3m6!1s0x31da16eab8fe412b:0x39c084bbaed98110!8m2!3d1.3816812!4d103.8465583!16s%2Fg%2F1tj_2rys!19sChIJK0H-uOoW2jEREIHZrruEwDk,1.3816875,103.8465625,1,1
Nee Soon South CC,4,Community center,"30 Yishun Street 81, Singapore 768455",768455,,+65 6753 3121,2–6p.m.,2–6p.m.,2–6p.m.,2–6p.m.,2–6p.m.,2–6p.m.,2–6p.m.,https://lh5.googleusercontent.com/p/AF1QipOSMUHSdd0kPB3qpdBu3tQ_riNJSjCBcl30VigN=w426-h240-k-no,https://www.google.com/maps/place/Nee+Soon+South+CC/data=!4m7!3m6!1s0x31da14119aaaaaab:0xe5a3c450e83421d3!8m2!3d1.4149818!4d103.8350618!16s%2Fg%2F1hc0r6_4_!19sChIJq6qqmhEU2jER0yE06FDEo-U,1.4149375,103.8350625,1,1
Singapore Cricket Club,4.5,Cricket club,"A Connaught Dr, Singapore 179681",179681,scc.org.sg,+65 6338 9271,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–11p.m.,11a.m.–10p.m.,https://lh5.googleusercontent.com/p/AF1QipPFHcN7F4DcBMwPF08Yt-1vZ6O1QhJfNpO_jg0m=w408-h306-k-no,https://www.google.com/maps/place/Singapore+Cricket+Club/data=!4m7!3m6!1s0x31da1909dfc489eb:0x7872159f7ecb616f!8m2!3d1.2888541!4d103.8520304!16s%2Fg%2F1tjgm35j!19sChIJ64nE3wkZ2jERb2HLfp8Vcng,1.2888125,103.8520625,1,1
SIA Sports Club,4.3,Sports complex,"726 Upper Changi Rd E, Singapore 486046",486046,https://www.siasportsclub.sg/,+65 6214 8168,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–1a.m.,9a.m.–12a.m.,https://lh5.googleusercontent.com/p/AF1QipOfrJb__yaNgWk6_rDK5rFp94HpYrayxO85h9eM=w408-h306-k-no,https://www.google.com/maps/place/SIA+Sports+Club/data=!4m7!3m6!1s0x31da3cde2252097f:0x787ca3d9b33f26ef!8m2!3d1.3446431!4d103.9647392!16s%2Fg%2F1td1rzvd!19sChIJfwlSIt482jER7yY_s9mjfHg,1.3446875,103.9646875,1,1
NSRCC Sea Sports Centre,4.3,Adventure sports center,"11 Changi Coast Walk, Singapore 499740",499740,,+65 6445 5108,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPsejvhyIYeYYnVJuAl_OYD9tGFOu6qVS-8ij5c=w408-h306-k-no,https://www.google.com/maps/place/NSRCC+Sea+Sports+Centre/data=!4m7!3m6!1s0x31da239b1556cd23:0x2971b4601700744!8m2!3d1.3162671!4d103.9775545!16s%2Fg%2F11f60y3jdm!19sChIJI81WFZsj2jERRAdwAUYblwI,1.3163125,103.9775625,1,1
Lower Seletar Water Sports Centre (Managed by Camelot Pte Ltd),4.6,Adventure sports center,"100 Yishun Ave 1, Lower Seletar Water Sports Centre, Singapore 769140",769140,adventure.camelotsg.biz,+65 9154 9424,Closed,9a.m.–5p.m.,9a.m.–5p.m.,Closed,9a.m.–5p.m.,8a.m.–6p.m.,8a.m.–6p.m.,https://lh5.googleusercontent.com/p/AF1QipP0fAHa0wxlKl6fWaMq0_vH_BHgvUkJHA3aDU0q=w408-h275-k-no,https://www.google.com/maps/place/Lower+Seletar+Water+Sports+Centre+(Managed+by+Camelot+Pte+Ltd)/data=!4m7!3m6!1s0x31da15f2ea52d79b:0x4c3b6249157b3247!8m2!3d1.4098996!4d103.8320025!16s%2Fg%2F11jdyxltvq!19sChIJm9dS6vIV2jERRzJ7FUliO0w,1.4099375,103.8320625,1,1
Tampines Sports Hall,4.5,Sports complex,"505 Tampines Ave 5, Singapore 529652",529652,,+65 6340 3636,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOEsPD2xPdKkH3gHqXu56V_dveattYfXoN51Qc1=w408-h306-k-no,https://www.google.com/maps/place/Tampines+Sports+Hall/data=!4m7!3m6!1s0x31da3d127f80ebcf:0xf43ca5ec73106d65!8m2!3d1.3530231!4d103.93942!16zL20vMGM3MGxm!19sChIJz-uAfxI92jERZW0Qc-ylPPQ,1.3530625,103.9394375,1,1
ALLY Singapore,4.6,Fitness center,"8 Cross St, #02-01/02 Manulife Tower, Singapore 048424",048424,https://ally.family/,+65 6518 9588,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,7a.m.–9:30p.m.,8:30a.m.–6:30p.m.,8a.m.–4:30p.m.,https://lh5.googleusercontent.com/p/AF1QipM5Yl-JXZ3oQX0U9uomoL6X-SjSa2bmctHkXR8d=w408-h254-k-no,https://www.google.com/maps/place/ALLY+Singapore/data=!4m7!3m6!1s0x31da19a6e7cc7e69:0x710968c5e944213d!8m2!3d1.2824439!4d103.8490256!16s%2Fg%2F11js5v7_4q!19sChIJaX7M56YZ2jERPSFE6cVoCXE,1.2824375,103.8490625,1,2
